M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
 9/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;252.000,0;1
 9/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;3.970.950,0;6
 9/2020;Bndes Cr仕ito Rural;BRDE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;300.000,0;1
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;14.021.900,0;4
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;830.000,0;2
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;15.969.600,0;5
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;602.600,0;2
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;950.000,0;1
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;582.000,0;2
 9/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;349.200,0;1
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;168.840,0;1
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;70.200,0;2
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;3.236.200,0;18
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;154.000,0;1
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;66.000,0;2
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;720.000,0;1
 9/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;75.472,0;1
 9/2020;Bndes Cr仕ito Rural;CRESOL SICOPER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;9.254,0;1
 9/2020;Bndes Cr仕ito Rural;CRESOL SICOPER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;123.487,8;4
 9/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;146.000,0;1
 9/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;405.137,5;5
 9/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;132.000,0;1
 9/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;250.000,0;1
 9/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;92.650,0;2
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Empresas Agro;BAHIA               ;NORDESTE            ;3.187.500,0;4
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;2.057.000,0;2
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;1.496.200,0;3
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;31.757.425,5;34
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;178.887,6;7
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;344.700,0;1
 9/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;704.000,0;1
 9/2020;Bndes Cr仕ito Rural;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;3.172.957,4;2
 9/2020;Bndes Cr仕ito Rural;STARA;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;916.300,0;1
 9/2020;INOVAGRO;BADESUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.600.000,0;2
 9/2020;INOVAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;600.000,0;1
 9/2020;INOVAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.808.492,6;6
 9/2020;INOVAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;188.000,0;1
 9/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;929.555,0;1
 9/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;3.020.000,0;3
 9/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;7.053.785,6;7
 9/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.332.295,5;3
 9/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;52.101.069,9;58
 9/2020;INOVAGRO;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.291.571,7;4
 9/2020;INOVAGRO;BASA;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;42.750,0;1
 9/2020;INOVAGRO;BDMG;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;2.600.000,0;2
 9/2020;INOVAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;2.535.893,9;2
 9/2020;INOVAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;8.084.670,1;7
 9/2020;INOVAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;5.383.140,8;5
 9/2020;INOVAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;5.882.374,0;6
 9/2020;INOVAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;3.900.000,0;3
 9/2020;INOVAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;5.200.000,0;4
 9/2020;INOVAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;26.956.114,2;26
 9/2020;INOVAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;4.569.447,9;4
 9/2020;INOVAGRO;CRESOL SC-RS;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;756.660,0;2
 9/2020;INOVAGRO;RABOBANK;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;450.000,0;1
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;2.599.147,9;2
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;2.250.510,7;2
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;2.639.814,2;3
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;3.898.516,0;3
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;44.730.130,3;39
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;5.952.697,4;6
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;3.768.325,3;3
 9/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;20.669.364,9;20
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;1.269.526,0;1
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;1.747.000,0;2
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;1.061.587,2;1
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;101.179.855,7;112
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;27.450.248,3;32
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;8.060.260,8;9
 9/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;3.881.500,0;3
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;ALAGOAS             ;NORDESTE            ;143.580,0;1
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;CEARA               ;NORDESTE            ;189.000,0;2
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;4.518.007,4;20
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;1.738.821,7;9
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;11.036.206,3;47
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;2.201.911,1;5
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;56.761.704,3;203
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;4.961.960,7;14
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.516.056,0;14
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PERNAMBUCO          ;NORDESTE            ;396.982,7;3
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;1.233.541,3;7
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;967.771,0;3
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;4.323.487,2;13
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;2.043.356,7;6
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;9.072.684,1;25
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;323.009,0;3
 9/2020;MODERAGRO;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;1.654.698,9;5
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;190.000,0;2
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;500.000,0;1
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;6.918.910,0;30
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.318.770,1;5
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.140.000,0;3
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;880.000,0;1
 9/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;27.520.020,8;42
 9/2020;MODERAGRO;BANRISUL;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;256.687,7;2
 9/2020;MODERAGRO;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;3.422.416,4;10
 9/2020;MODERAGRO;BDMG;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;2.469.397,1;3
 9/2020;MODERAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.160.257,4;2
 9/2020;MODERAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;4.963.606,5;9
 9/2020;MODERAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;3.696.083,8;6
 9/2020;MODERAGRO;BRDE;Agricultura Empresarial;Empresas Agro;PARANA              ;SUL                 ;152.686,4;1
 9/2020;MODERAGRO;BRDE;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;879.320,0;1
 9/2020;MODERAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;3.938.058,5;12
 9/2020;MODERAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.243.124,0;3
 9/2020;MODERAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.807.380,0;5
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;154.836,0;1
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;100.500,0;1
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;570.651,1;6
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;28.835.567,5;58
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.756.955,2;2
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;904.000,0;4
 9/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;4.018.201,9;6
 9/2020;MODERAGRO;CRESOL SC-RS;Agricultura Empresarial;Empresas Agro;PERNAMBUCO          ;NORDESTE            ;1.651.872,8;2
 9/2020;MODERAGRO;CRESOL SC-RS;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;3.810.000,0;5
 9/2020;MODERAGRO;CRESOL SC-RS;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;2.418.342,7;4
 9/2020;MODERAGRO;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.637.000,0;3
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.208.149,9;2
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.238.985,8;2
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;6.345.845,9;9
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;13.090.916,3;19
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;3.143.487,0;5
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.600.000,0;2
 9/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;9.434.203,7;14
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;1.896.000,0;4
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;700.000,0;2
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;1.854.656,2;7
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;880.000,0;1
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;26.219.767,1;49
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;5.250.422,7;13
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;3.275.500,0;8
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;41.031.164,9;77
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;175.000,0;1
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;19.614.846,0;38
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.397.731,6;5
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;1.325.272,9;10
 9/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;250.000,0;1
 9/2020;MODERFROTA;BADESUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.608.200,0;3
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.421.200,0;3
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;3.998.936,0;12
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;758.200,0;1
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;1.216.265,0;3
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.373.620,0;7
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;6.827.555,0;21
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;217.600,0;1
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;5.230.557,6;19
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;1.079.500,0;2
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.523.222,2;8
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RORAIMA             ;NORTE               ;144.500,0;1
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;136.000,0;1
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;4.993.664,5;18
 9/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;445.485,0;2
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;144.500,0;1
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;255.197,2;2
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;12.543.685,0;18
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;11.082.693,4;18
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.243.200,0;2
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;2.430.616,4;16
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;3.638.813,0;8
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;118.150,0;1
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;710.500,0;2
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;3.246.575,0;4
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.859.791,6;9
 9/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;2.147.530,0;12
 9/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;1.997.500,0;3
 9/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;15.101.153,9;42
 9/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;34.000,0;1
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;GOIAS               ;CENTRO OESTE        ;375.785,0;4
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;1.677.891,5;8
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MATO GROSSO DO SUL  ;CENTRO OESTE        ;538.717,2;1
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;PARA                ;NORTE               ;67.915,0;3
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;PARANA              ;SUL                 ;2.625.131,2;5
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;RONDONIA            ;NORTE               ;735.000,0;1
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;256.700,0;4
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;ACRE                ;NORTE               ;131.750,0;1
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;ALAGOAS             ;NORDESTE            ;157.250,0;2
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;DISTRITO FEDERAL    ;CENTRO OESTE        ;1.748.875,0;2
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;3.278.395,0;22
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;417.095,0;7
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;30.294.470,3;123
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;10.090.096,0;27
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;28.390.369,1;80
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;21.218.970,0;50
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;20.777.629,7;102
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;10.651.512,5;45
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;11.691.803,4;44
 9/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PERNAMBUCO          ;NORDESTE            ;158.950,0;2
