M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
 7/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;85.000,0;1
 7/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;355.500,0;1
 7/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;212.500,0;1
 7/2020;Bndes Cr仕ito Rural;CNH;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;182.750,0;1
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;370.000,0;2
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;1.629.500,0;5
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;134.000,0;2
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.786.630,9;19
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;454.520,0;3
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;118.823,0;2
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;20.000,0;2
 7/2020;Bndes Cr仕ito Rural;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;113.000,0;1
 7/2020;Bndes Cr仕ito Rural;CRESOL SICOPER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;190.000,0;2
 7/2020;Bndes Cr仕ito Rural;CRESOL SICOPER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;93.571,2;5
 7/2020;Bndes Cr仕ito Rural;DESENBAHIA;Agricultura Empresarial;Empresas Agro;BAHIA               ;NORDESTE            ;205.600,0;1
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;250.000,0;1
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;1.258.200,0;2
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;770.300,0;7
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;3.303.143,0;23
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;337.900,0;5
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;636.000,0;3
 7/2020;Bndes Cr仕ito Rural;DLL;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;1.377.700,0;8
 7/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;1.107.202,8;5
 7/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;1.678.900,0;4
 7/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;894.200,0;7
 7/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;433.500,0;2
 7/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;472.000,0;1
 7/2020;Bndes Cr仕ito Rural;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;273.412,0;2
 7/2020;Bndes Cr仕ito Rural;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;19.168,2;1
 7/2020;INOVAGRO;BADESUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.600.000,0;2
 7/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;2.806.757,4;3
 7/2020;INOVAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;2.600.095,3;3
 7/2020;INOVAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;873.000,0;1
 7/2020;INOVAGRO;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;3.342.076,3;4
 7/2020;INOVAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.332.249,9;3
 7/2020;INOVAGRO;BRDE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;3.233.540,0;5
 7/2020;INOVAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;41.246.024,4;46
 7/2020;INOVAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;7.239.262,7;8
 7/2020;INOVAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;73.800,0;1
 7/2020;INOVAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;7.253.224,0;7
 7/2020;INOVAGRO;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;1.049.734,8;2
 7/2020;INOVAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.882.500,0;2
 7/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;140.000,0;1
 7/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;930.000,0;1
 7/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;67.588.978,2;88
 7/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;10.960.000,0;10
 7/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;2.243.648,9;4
 7/2020;INOVAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;1.257.500,0;1
 7/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;1.200.000,0;3
 7/2020;MODERAGRO;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;50.000,0;1
 7/2020;MODERAGRO;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.165.402,1;6
